sex;salary-class;race;workclass;marital-status;occupation;education;native-country
Male;<=50K;White;Federal-gov;Married-civ-spouse;Other-service;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Male;<=50K;White;Self-emp-inc;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;>50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty;Masters;India
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Other-service;HS-grad;Yugoslavia
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;Black;Local-gov;Never-married;Adm-clerical;Some-college;Haiti
Female;>50K;White;State-gov;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Other-service;11th;Ireland
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;Assoc-acdm;United-States
Male;>50K;White;State-gov;Married-civ-spouse;Exec-managerial;Doctorate;United-States
Male;<=50K;White;Private;Married-civ-spouse;Prof-specialty;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Other-service;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;Black;Private;Separated;Prof-specialty;1st-4th;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Tech-support;Bachelors;United-States
Female;<=50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Female;>50K;White;Private;Married-civ-spouse;Exec-managerial;Assoc-voc;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Machine-op-inspct;7th-8th;Mexico
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Female;<=50K;Asian-Pac-Islander;Private;Married-civ-spouse;Other-service;HS-grad;Philippines
Female;<=50K;White;Private;Divorced;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Transport-moving;11th;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Priv-house-serv;HS-grad;Mexico
Male;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Sales;Masters;United-States
Female;<=50K;White;Private;Divorced;Sales;HS-grad;United-States
Female;<=50K;White;Private;Separated;Machine-op-inspct;1st-4th;Guatemala
Male;<=50K;Asian-Pac-Islander;State-gov;Married-civ-spouse;Prof-specialty;Doctorate;Taiwan
Male;<=50K;White;Private;Never-married;Machine-op-inspct;7th-8th;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;Asian-Pac-Islander;State-gov;Never-married;Other-service;Some-college;United-States
Male;<=50K;Black;State-gov;Divorced;Protective-serv;Assoc-acdm;United-States
Female;<=50K;Black;Private;Divorced;Machine-op-inspct;7th-8th;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;Black;State-gov;Married-civ-spouse;Protective-serv;Masters;United-States
Male;<=50K;White;Private;Divorced;Handlers-cleaners;HS-grad;United-States
Male;<=50K;Black;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Craft-repair;10th;United-States
Female;<=50K;White;Private;Divorced;Craft-repair;Assoc-voc;United-States
Female;>50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Protective-serv;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;10th;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Machine-op-inspct;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;>50K;White;Local-gov;Divorced;Adm-clerical;Bachelors;United-States
Female;<=50K;White;State-gov;Married-civ-spouse;Other-service;Some-college;United-States
Male;<=50K;White;Private;Divorced;Adm-clerical;Bachelors;United-States
Male;<=50K;White;Local-gov;Divorced;Protective-serv;Some-college;United-States
Male;>50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;Assoc-acdm;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Transport-moving;Some-college;United-States
Male;<=50K;Black;Local-gov;Divorced;Tech-support;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;10th;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;Portugal
Male;>50K;White;Local-gov;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;11th;United-States
Female;<=50K;White;Private;Married-civ-spouse;Other-service;12th;United-States
Female;>50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Separated;Other-service;10th;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Sales;11th;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;7th-8th;Guatemala
Male;>50K;White;Federal-gov;Married-civ-spouse;Tech-support;Some-college;United-States
Female;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Other-service;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;Some-college;United-States
Male;<=50K;White;Private;Divorced;Prof-specialty;Bachelors;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;<=50K;White;Private;Married-civ-spouse;Protective-serv;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;Amer-Indian-Eskimo;Local-gov;Never-married;Protective-serv;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Female;>50K;White;Private;Divorced;Other-service;Some-college;United-States
Female;<=50K;White;Private;Divorced;Other-service;Some-college;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Tech-support;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Protective-serv;Some-college;United-States
Female;<=50K;White;Private;Never-married;Prof-specialty;Some-college;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States
Male;>50K;White;Private;Never-married;Farming-fishing;Bachelors;United-States
Female;<=50K;White;Private;Divorced;Other-service;Some-college;United-States
Female;<=50K;White;Private;Married-civ-spouse;Farming-fishing;HS-grad;United-States
Female;<=50K;White;Private;Widowed;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;Bachelors;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Assoc-voc;United-States
Male;<=50K;White;Private;Divorced;Prof-specialty;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Divorced;Craft-repair;10th;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;Some-college;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Masters;United-States
Male;<=50K;White;Local-gov;Never-married;Prof-specialty;Masters;United-States
Female;<=50K;White;Private;Divorced;Other-service;HS-grad;United-States
Female;<=50K;White;Self-emp-inc;Married-civ-spouse;Sales;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Assoc-acdm;Iran
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;>50K;Black;Self-emp-inc;Never-married;Other-service;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;Assoc-acdm;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Exec-managerial;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;Some-college;United-States
Male;<=50K;Black;Private;Never-married;Tech-support;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Other-service;Some-college;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Masters;United-States
Female;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Bachelors;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Exec-managerial;Masters;United-States
Female;<=50K;White;Private;Never-married;Sales;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Other-service;Some-college;United-States
Female;<=50K;White;State-gov;Never-married;Adm-clerical;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;9th;United-States
Female;<=50K;White;Private;Separated;Other-service;Assoc-acdm;United-States
Female;<=50K;White;Self-emp-not-inc;Widowed;Farming-fishing;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;Some-college;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;10th;United-States
Female;<=50K;White;Private;Divorced;Tech-support;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Tech-support;Some-college;United-States
Female;<=50K;White;Local-gov;Married-spouse-absent;Adm-clerical;Some-college;Guatemala
Female;<=50K;Black;Private;Married-civ-spouse;Adm-clerical;Bachelors;United-States
Male;<=50K;Asian-Pac-Islander;Private;Never-married;Other-service;HS-grad;United-States
Female;<=50K;Black;Private;Never-married;Adm-clerical;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;5th-6th;Mexico
Female;<=50K;White;Local-gov;Divorced;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Local-gov;Married-civ-spouse;Other-service;11th;United-States
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;Assoc-acdm;United-States
Female;<=50K;Black;Private;Never-married;Exec-managerial;Assoc-acdm;United-States
Female;<=50K;White;Private;Divorced;Sales;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Exec-managerial;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Protective-serv;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;HS-grad;Mexico
Female;<=50K;White;Private;Divorced;Adm-clerical;Some-college;United-States
Female;>50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Sales;11th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Assoc-voc;United-States
Female;<=50K;White;Private;Divorced;Sales;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;11th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;5th-6th;Mexico
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Female;<=50K;Black;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Adm-clerical;Masters;United-States
Male;<=50K;Asian-Pac-Islander;Federal-gov;Married-civ-spouse;Prof-specialty;Bachelors;Iran
Female;<=50K;White;Local-gov;Married-civ-spouse;Other-service;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Protective-serv;Bachelors;United-States
Male;>50K;White;Private;Never-married;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Divorced;Priv-house-serv;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Female;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;<=50K;Asian-Pac-Islander;Private;Never-married;Prof-specialty;Some-college;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Assoc-voc;United-States
Female;<=50K;White;Private;Never-married;Other-service;10th;United-States
Female;<=50K;Black;Private;Married-civ-spouse;Adm-clerical;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Handlers-cleaners;12th;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Female;<=50K;White;Private;Divorced;Other-service;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;10th;United-States
Male;<=50K;White;Private;Widowed;Protective-serv;HS-grad;United-States
Female;<=50K;White;Private;Separated;Other-service;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Other-service;9th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;>50K;White;Private;Married-civ-spouse;Prof-specialty;Masters;United-States
Female;<=50K;White;Local-gov;Never-married;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;Assoc-voc;United-States
Female;<=50K;White;Local-gov;Never-married;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Bachelors;Dominican-Republic
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;Mexico
Male;>50K;White;Private;Divorced;Transport-moving;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Male;<=50K;White;State-gov;Married-spouse-absent;Adm-clerical;Bachelors;United-States
Male;<=50K;White;Private;Divorced;Transport-moving;HS-grad;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Sales;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;HS-grad;United-States
Male;>50K;Black;Private;Married-civ-spouse;Adm-clerical;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Separated;Farming-fishing;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Bachelors;United-States
Female;<=50K;White;Private;Separated;Other-service;Some-college;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Prof-specialty;Doctorate;United-States
Female;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;10th;United-States
Female;<=50K;Black;Private;Never-married;Adm-clerical;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;Asian-Pac-Islander;Self-emp-not-inc;Married-civ-spouse;Craft-repair;Some-college;South
Male;<=50K;White;Private;Separated;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Transport-moving;Some-college;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Transport-moving;HS-grad;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;11th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;5th-6th;Mexico
Male;<=50K;White;Federal-gov;Never-married;Prof-specialty;Bachelors;United-States
Male;>50K;White;Private;Divorced;Sales;Doctorate;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;Assoc-acdm;United-States
Female;<=50K;Amer-Indian-Eskimo;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Male;<=50K;Amer-Indian-Eskimo;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;Black;Private;Widowed;Machine-op-inspct;HS-grad;United-States
Female;<=50K;White;Private;Widowed;Other-service;11th;El-Salvador
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Craft-repair;10th;United-States
Male;<=50K;White;Private;Married-civ-spouse;Farming-fishing;Some-college;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;>50K;Asian-Pac-Islander;Private;Married-civ-spouse;Tech-support;HS-grad;Philippines
Female;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Never-married;Exec-managerial;HS-grad;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Tech-support;Assoc-acdm;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Sales;12th;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Protective-serv;Assoc-acdm;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;11th;United-States
Female;>50K;White;Local-gov;Divorced;Prof-specialty;Masters;United-States
Male;<=50K;White;Private;Never-married;Exec-managerial;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Divorced;Exec-managerial;Some-college;Italy
Female;<=50K;White;Private;Married-civ-spouse;Sales;11th;United-States
Male;<=50K;White;Private;Never-married;Other-service;HS-grad;United-States
Male;<=50K;Black;Local-gov;Never-married;Other-service;HS-grad;United-States
Female;>50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;State-gov;Never-married;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Separated;Exec-managerial;Bachelors;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Male;<=50K;White;Self-emp-inc;Divorced;Exec-managerial;Bachelors;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Sales;HS-grad;United-States
Male;>50K;White;Self-emp-inc;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Female;<=50K;White;Private;Divorced;Sales;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Craft-repair;10th;United-States
Female;<=50K;White;Private;Never-married;Tech-support;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Other-service;11th;United-States
Male;<=50K;White;Private;Divorced;Farming-fishing;HS-grad;United-States
Male;>50K;White;Private;Divorced;Exec-managerial;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Female;<=50K;White;State-gov;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Self-emp-not-inc;Married-civ-spouse;Prof-specialty;Assoc-voc;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;Some-college;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;Assoc-voc;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;HS-grad;United-States
Female;<=50K;Black;Private;Separated;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Self-emp-not-inc;Separated;Sales;HS-grad;United-States
Male;<=50K;Black;Private;Married-civ-spouse;Handlers-cleaners;Some-college;Mexico
Female;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Adm-clerical;11th;United-States
Male;<=50K;White;Private;Never-married;Sales;HS-grad;United-States
Female;<=50K;White;Self-emp-not-inc;Divorced;Prof-specialty;Bachelors;United-States
Female;<=50K;White;Local-gov;Divorced;Prof-specialty;Bachelors;United-States
Female;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;7th-8th;Canada
Male;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;State-gov;Divorced;Prof-specialty;Bachelors;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;11th;United-States
Female;<=50K;White;Private;Never-married;Tech-support;Some-college;United-States
Male;<=50K;White;Private;Never-married;Exec-managerial;Some-college;United-States
Female;<=50K;Black;State-gov;Never-married;Prof-specialty;Some-college;United-States
Female;<=50K;White;Private;Married-civ-spouse;Other-service;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Male;<=50K;Other;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Prof-specialty;Some-college;United-States
Male;<=50K;White;Self-emp-inc;Divorced;Sales;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Sales;Bachelors;United-States
Female;<=50K;White;Local-gov;Divorced;Exec-managerial;Some-college;United-States
Male;<=50K;Asian-Pac-Islander;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Female;<=50K;Asian-Pac-Islander;Self-emp-not-inc;Married-civ-spouse;Machine-op-inspct;Bachelors;Thailand
Male;<=50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Divorced;Machine-op-inspct;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Farming-fishing;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;9th;United-States
Male;>50K;White;Local-gov;Married-civ-spouse;Other-service;12th;United-States
Male;<=50K;White;Private;Separated;Transport-moving;HS-grad;Mexico
Male;<=50K;Black;Private;Married-civ-spouse;Other-service;11th;United-States
Female;<=50K;White;Private;Never-married;Exec-managerial;HS-grad;England
Female;<=50K;White;Private;Divorced;Other-service;HS-grad;United-States
Male;<=50K;White;Private;Never-married;Adm-clerical;HS-grad;United-States
Male;<=50K;Black;Private;Never-married;Machine-op-inspct;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Exec-managerial;Masters;United-States
Female;<=50K;White;Private;Divorced;Adm-clerical;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Handlers-cleaners;HS-grad;United-States
Male;>50K;White;Federal-gov;Married-civ-spouse;Adm-clerical;Bachelors;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;7th-8th;United-States
Female;<=50K;White;Private;Never-married;Adm-clerical;Some-college;United-States
Female;<=50K;White;Private;Married-civ-spouse;Adm-clerical;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Prof-specialty;Prof-school;United-States
Male;<=50K;White;Private;Never-married;Handlers-cleaners;10th;United-States
Female;<=50K;Black;Private;Never-married;Sales;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Exec-managerial;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;9th;United-States
Male;<=50K;White;Private;Divorced;Other-service;10th;United-States
Female;<=50K;Asian-Pac-Islander;Private;Divorced;Adm-clerical;Some-college;United-States
Female;<=50K;Black;Local-gov;Never-married;Prof-specialty;Bachelors;United-States
Male;>50K;White;Private;Married-civ-spouse;Craft-repair;HS-grad;United-States
Female;<=50K;White;Private;Never-married;Other-service;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Machine-op-inspct;7th-8th;United-States
Male;>50K;White;Self-emp-inc;Never-married;Exec-managerial;Some-college;United-States
Female;<=50K;White;Private;Widowed;Farming-fishing;HS-grad;United-States
Male;>50K;White;Self-emp-not-inc;Married-civ-spouse;Exec-managerial;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Other-service;9th;United-States
Male;>50K;White;Private;Married-civ-spouse;Transport-moving;HS-grad;United-States
Male;<=50K;White;Private;Married-civ-spouse;Craft-repair;11th;United-States
Female;<=50K;Black;Private;Never-married;Other-service;Some-college;United-States
Male;>50K;White;Private;Married-civ-spouse;Machine-op-inspct;HS-grad;United-States
Male;>50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Male;<=50K;White;Private;Married-civ-spouse;Sales;11th;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Craft-repair;Some-college;United-States
Female;<=50K;Black;Private;Never-married;Sales;11th;United-States
Female;<=50K;White;Private;Divorced;Craft-repair;HS-grad;United-States
Male;<=50K;White;Federal-gov;Married-civ-spouse;Prof-specialty;Bachelors;United-States
Female;<=50K;White;Private;Married-civ-spouse;Other-service;Assoc-acdm;United-States
Female;<=50K;Amer-Indian-Eskimo;Private;Separated;Sales;Some-college;United-States
Male;>50K;Black;Self-emp-inc;Married-civ-spouse;Prof-specialty;HS-grad;United-States
Female;<=50K;White;Private;Separated;Other-service;HS-grad;United-States
Male;<=50K;Other;Private;Married-civ-spouse;Prof-specialty;Bachelors;Ecuador
Male;<=50K;White;Private;Married-civ-spouse;Sales;Some-college;United-States
Female;<=50K;White;Private;Never-married;Sales;12th;United-States
Male;<=50K;White;Self-emp-not-inc;Never-married;Exec-managerial;Bachelors;United-States
Male;<=50K;White;Private;Never-married;Machine-op-inspct;HS-grad;United-States
